
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP, SETPOINT CONVENTION (NO MEAN RENORMALISATION): run-time reduction at matched balanced fidelity
  Same sweep as `noise` but with delta = 0 taken as the laser setpoint, so the mean rate is free to move. Mean-preserving renormalisation pushes the median switching gain below 1 when the photon order is ~4, which makes the typical shot easier and could mask harm; this is the cross-check.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.57       1.87        4.23       4.23        1.80     1.04    [1.03,1.05]    0.44      0.44
                           0.58       2.15        4.23       4.23        2.02     1.06    [1.04,1.08]    0.51      0.51
                           0.59       2.43        4.23       4.23        2.28     1.07    [1.05,1.08]    0.58      0.58
                           0.60       2.74        4.23       4.23        2.57     1.06    [1.05,1.08]    0.65      0.65
                           0.61       3.08        4.23       4.23        2.87     1.07    [1.06,1.09]    0.73      0.73
                           0.62       3.43        4.23       4.23        3.15     1.09    [1.07,1.10]    0.81      0.81
                           0.63       3.79        4.23       4.23        3.46     1.10    [1.08,1.11]    0.90      0.90
                           0.64       4.13        4.23       4.23        3.80     1.09    [0.99,1.10]    0.98      0.98
                           0.65       4.53        4.23       4.23        4.23     1.07    [1.02,1.09]    1.07      1.07
                           0.66       4.89        4.81       4.81        4.66     1.05    [1.04,1.10]    1.02      1.02
                           0.67       5.25        5.06       5.06        4.84     1.08    [1.06,1.11]    1.04      1.04
                           0.68       5.69        5.32       5.32        5.06     1.12    [1.11,1.13]    1.07      1.07
                           0.69       6.07        5.60       5.60        5.36     1.13    [1.12,1.14]    1.08      1.08
                           0.70       6.47        5.89       5.89        5.68     1.14    [1.13,1.16]    1.10      1.10
                           0.71       6.91        6.19       6.19        6.01     1.15    [1.14,1.17]    1.12      1.12
                           0.72       7.35        6.51       6.51        6.36     1.16    [1.14,1.17]    1.13      1.13
                           0.73       7.80        6.85       6.85        6.73     1.16    [1.15,1.17]    1.14      1.14
                           0.74       8.32        7.20       7.20        7.14     1.17    [1.16,1.17]    1.16      1.16
                           0.75       8.90        7.57       7.57        7.90     1.13    [1.11,1.18]    1.18      1.18
                           0.76       9.48        9.42       9.42        7.98     1.19    [1.02,1.19]    1.01      1.01
                           0.77      10.13        9.85       9.85        9.50     1.07    [1.03,1.10]    1.03      1.03
                           0.78      10.88       10.30      10.30        9.67     1.13    [1.09,1.16]    1.06      1.06
                           0.79      11.72       10.76      10.76        9.84     1.19    [1.16,1.23]    1.09      1.09
                           0.80      12.61       11.25      11.25       10.16     1.24    [1.23,1.25]    1.12      1.12
                           0.81      13.53       11.76      11.76       10.78     1.26    [1.25,1.26]    1.15      1.15
                           0.82      14.52       12.30      12.30       11.48     1.26    [1.18,1.27]    1.18      1.18
                           0.83      15.70       12.86      12.86       12.72     1.23    [1.19,1.27]    1.22      1.22
                           0.84      17.12       13.44      13.44       13.27     1.29    [1.25,1.31]    1.27      1.27
                           0.85      18.67       14.05      14.05       14.03     1.33    [1.24,1.34]    1.33      1.33
                           0.86      20.42       19.97      19.97       17.79     1.15    [1.14,1.31]    1.02      1.02
                           0.87      22.88       21.35      21.34       17.84     1.28    [1.21,1.38]    1.07      1.07
                           0.88      26.48       22.81      22.81       19.18     1.38    [1.32,1.42]    1.16      1.16
                           0.89      31.87       24.39      24.37       24.39     1.31    [1.21,1.43]    1.31      1.31
--------------------------------------------------------------------------------------------------------------------
      sigma0.3      10.4   0.55       1.30        4.23       4.23        1.25     1.04    [1.02,1.06]    0.31      0.31
                           0.56       1.58        4.23       4.23        1.50     1.05    [1.03,1.07]    0.37      0.37
                           0.57       1.88        4.23       4.23        1.79     1.05    [1.03,1.07]    0.44      0.44
                           0.58       2.19        4.23       4.23        2.04     1.07    [1.05,1.09]    0.52      0.52
                           0.59       2.50        4.23       4.23        2.33     1.07    [1.06,1.09]    0.59      0.59
