
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP (GAUSSIAN, TAU_C = 100 US): run-time reduction at matched balanced fidelity
  A single fractional intensity fluctuation drives emission linearly and switching quadratically, as the photon order requires. The filter is built from the NOMINAL rates, so this is the one error a calibrated boundary cannot absorb.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
--------------------------------------------------------------------------------------------------------------------

fidelity ceiling by method
         point         threshold    adaptive_count  fixed_count_mmpp     adaptive_mmpp
        sigma0            0.9049            0.9041            0.9126            0.9131
     sigma0.05            0.9051            0.9043            0.9142            0.9148
      sigma0.1            0.8995            0.8997            0.9099            0.9099
      sigma0.2            0.8997            0.8993            0.9133            0.9144
      sigma0.3            0.8994            0.8991            0.9128            0.9149

end-to-end speedup including per-shot overhead (F* = 0.85)
        sigma0   0 us: 1.32x,  5 us: 1.23x,  20 us: 1.13x,  100 us: 1.04x
     sigma0.05   0 us: 1.32x,  5 us: 1.23x,  20 us: 1.13x,  100 us: 1.04x
      sigma0.1   0 us: 1.33x,  5 us: 1.25x,  20 us: 1.14x,  100 us: 1.04x
      sigma0.2   0 us: 1.34x,  5 us: 1.25x,  20 us: 1.14x,  100 us: 1.04x
      sigma0.3   0 us: 1.29x,  5 us: 1.22x,  20 us: 1.12x,  100 us: 1.04x
