
====================================================================================================
RATE-NOISE CORRELATION-TIME SWEEP (GAUSSIAN, SIGMA = 0.2): run-time reduction at matched balanced fidelity
  Noise much faster than the 120 us bright dwell averages out within a dwell; noise much slower is quasi-static and the calibrated cutoff absorbs it. The damage should peak in between.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: ou rate noise, sigma = 0.2, tau_c = 0.01 ms, photon order 3.98287, mean-renormalised
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.82      14.53       12.32      12.32       12.27     1.18    [1.16,1.27]    1.18      1.18
                           0.83      15.64       12.84      12.84       12.51     1.25    [1.22,1.29]    1.22      1.22
                           0.84      16.80       13.38      13.38       12.89     1.30    [1.29,1.32]    1.25      1.25
                           0.85      18.20       13.95      13.95       13.70     1.33    [1.28,1.33]    1.30      1.30
                           0.86      19.83       19.60      19.63       16.14     1.23    [1.16,1.31]    1.01      1.01
                           0.87      21.89       20.76      20.85       16.62     1.32    [1.26,1.37]    1.05      1.05
                           0.88      24.57       21.99      22.15       17.97     1.37    [1.23,1.40]    1.11      1.12
                           0.89      28.57       23.30      23.52       21.52     1.33    [1.22,1.44]    1.21      1.23
                           0.90      38.57       24.68      42.38       23.17     1.66    [1.22,1.80]    0.91      1.56
--------------------------------------------------------------------------------------------------------------------

fidelity ceiling by method
         point         threshold    adaptive_count  fixed_count_mmpp     adaptive_mmpp
     tau0.01ms            0.9052            0.9050            0.9169            0.9172
     tau0.03ms            0.8992            0.8990            0.9119            0.9117
      tau0.1ms            0.8997            0.8993            0.9133            0.9144
      tau0.3ms            0.9006            0.9004            0.9113            0.9121
        tau1ms            0.9006            0.9005            0.9154            0.9154

end-to-end speedup including per-shot overhead (F* = 0.85)
     tau0.01ms   0 us: 1.32x,  5 us: 1.23x,  20 us: 1.13x,  100 us: 1.04x
     tau0.03ms   0 us: 1.34x,  5 us: 1.25x,  20 us: 1.14x,  100 us: 1.04x
      tau0.1ms   0 us: 1.34x,  5 us: 1.25x,  20 us: 1.14x,  100 us: 1.04x
      tau0.3ms   0 us: 1.34x,  5 us: 1.25x,  20 us: 1.14x,  100 us: 1.04x
        tau1ms   0 us: 1.33x,  5 us: 1.24x,  20 us: 1.13x,  100 us: 1.04x
